행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
나의 노래 공연,금산다락원 생명의집,김광석을 동경하는 무명 가수 이야기,2018-11-02,2018-11-02,14:00,21:00,유료,한국문화예술회관연합회+충청남도 금산군청+금산다락원,한국문화예술회관연합회+충청남도 금산군청+금산다락원,041-750-4424,복권위원회+문화체육관광부,1404,5000,7세이상,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
정글북,금산다락원 생명의집,애니메이션 정글북을 원작으로 한 모험 극,2018-11-07,2018-11-07,11:00,21:00,유료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,352,1000,48개월이상,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
정글북,금산다락원 생명의집,애니메이션 정글북을 원작으로 한 모험 극,2018-11-08,2018-11-08,11:00,21:00,유료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,526,1000,48개월이상,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
뮤지컬디스이즈잇 힙합공연,금산다락원 생명의집,청소년들에게 꿈과 희망을 주는 멘토들의 신나는 힙합공연+DJ쇼,2018-11-16,2018-11-16,14:00,21:00,무료,한국문화예술회관연합회+충청남도 금산군청+금산다락원,한국문화예술회관연합회+충청남도 금산군청+금산다락원,041-750-4424,복권위원회+문화체육관광부,727,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
수능 탈출 콘서트,금산다락원 생명의집,수험시험에 지친 청소년들을 위한 공연,2018-11-19,2018-11-19,15:00,21:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,400,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
소년소녀합창단 정기공연,금산다락원 생명의집,금산다락원 예술단 정기공연,2018-11-21,2018-11-21,19:30,21:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,400,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
홈쇼핑 주식회사,금산다락원 생명의집,수다스런 세 여자들의 즐거운 웃음 버라이어티 쇼,2018-11-27,2018-11-27,19:30,21:00,유료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,723,10000,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
성악교실 발표회,금산다락원 생명의집,금산다락원 예술단 정기공연,2018-11-27,2018-11-27,19:30,21:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,100,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
인삼골합창단 정기공연,금산다락원 생명의집,금산다락원 예술단 정기공연,2018-11-30,2018-11-30,19:30,21:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,300,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
교양악기 발표회,금산다락원 생명의집,금산다락원 예술단 정기공연,2018-12-04,2018-12-04,19:30,21:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,100,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
금산필하모닉오케스트라 정기연주회,금산다락원 생명의집,금산다락원 예술단 정기공연,2018-12-13,2018-12-13,19:30,21:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,420,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
