축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
반포서래 한불음악축제,조달청 주차장,2024-06-15,2024-06-15,체험부스+먹거리+지역주민 및 초청가수 공연,반포4동 주민자치위원회,반포4동 주민자치위원회,,,,,서울특별시 서초구 반포대로 217,,,,2024-08-06,3210000,서울특별시 서초구
2024 행복광진 힐링축제,중곡역 소공원 일대,2024-09-07,2024-09-07,"초대가수 축하 공연, 지역가수 축하 공연",서울특별시 광진구,서울특별시 광진구,,02-450-7638,,,서울특별시 광진구 능동로 400,서울특별시 광진구 중곡동 30-80,,,2024-11-07,3040000,서울특별시 광진구
광진가족 클래식 음악산책 지브리 콘서트,건국대 새천년관 대공연장,2024-09-10,2024-09-10,스튜디오 지브리 미야자키 하야오의 애니메이션 OST연주,서울특별시 광진구,서울특별시 광진구,,02-450-7597,,,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,,,2024-11-07,3040000,서울특별시 광진구
2024 청춘대로,"능동로 분수광장, 숲속의 무대 등 능동로 일대",2024-09-26,2024-09-28,청년페스티벌 축하 공연 등 다양한 청년참여 프로그램 운영,서울특별시 광진구,서울특별시 광진구,,02-450-7596,,,서울특별시 광진구 능동로 216,서울특별시 광진구 능동 18,,,2024-11-07,3040000,서울특별시 광진구
2024 피크닉인나루,어린이대공원 숲속의무대,2024-10-05,2024-10-05,전세대 공감 친환경 콘서트,서울특별시 광진문화재단,서울특별시 광진문화재단,,02-2049-4700,,,서울특별시 광진구 능동로 216,서울특별시 광진구 능동 18,,,2024-11-07,3040000,서울특별시 광진구
2024년 제1회 광진생활문화예술축제,"어린이대공원 문화의거리, 사전행사(9/20 커먼그라운드_공방예술마켓)",2024-10-11,2024-10-12,"음악공연 및 노래자랑, 자치회관+문화원+문화예술회관 수강생 발표회 및 전시회, 공방예술마켓",서울특별시 광진구,서울특별시 광진구,,02-450-7573,,,서울특별시 광진구 능동로 216,서울특별시 광진구 능동 18,,,2024-11-07,3040000,서울특별시 광진구
클래식소풍,어린이대공원 구의문 잔디광장,2024-10-19,2024-10-19,야외클래식 오케스트라 공연 및 팝페라 가수 등 협연 공연,서울특별시 광진구,서울특별시 광진구,,02-450-7597,,,서울특별시 광진구 능동로 216,서울특별시 광진구 능동 18,,,2024-11-07,3040000,서울특별시 광진구
2025 아차산 해맞이 축제,아차산 어울림 광장,2025-01-01,2025-01-01,새해덕담+ 문화공연+ 일출감상,서울특별시 광진구,서울특별시 광진구,,02-450-7596,,,서울특별시 광진구 워커힐로 127,서울특별시 광진구 광장동 5-117,,,2024-11-07,3040000,서울특별시 광진구
거창크리스마스트리문화축제,거창군청 일원,2024-12-06,2025-01-31,트리문화축제 공연 등,거창크리스마스트리문화축제위원회,거창크리스마스트리문화축제위원회,경상남도 거창군,055-943-3579,https://www.gcctf.co.kr/,,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 중앙로 103,35.6866668,127.909539,2025-03-01,5470000,경상남도 거창군
금원산 얼음축제,금원산 휴양림,2025-01-10,2025-01-16,얼음미끄럼틀 등,경상남도 산림환경연구원,경상남도 산림환경연구원,경상남도 거창군,055-254-3971,https://blog.naver.com/gnfeel/223705284492,,경상남도 거창군 위천면 금원산길 412,경상남도 거창군 위천면 상천리 산61-1,,,2025-03-01,5470000,경상남도 거창군
미추홀미디어문화축제,문학경기장 동문광장,2025-09-27,2025-09-28,미추홀의 특색있는 문화자원과 미디어 분야의 융합 콘텐츠를 만날 수 있는 축제 프로그램,인천광역시 미추홀구청,인천광역시 미추홀구청,,032-880-7978,https://www.michuhol.go.kr/culture/main.do,,인천광역시 미추홀구 매소홀로 618,인천광역시 미추홀구 문학동 515,37.43654516,126.6864606,2025-02-10,3510500,인천광역시 미추홀구
인천원도사제낙섬축제,용현5동 윤성아파트 건너편 임시도로,2025-10-25,2025-10-25,원도사제 제례 재현+화합의 길놀이+대동 한마당 축하공연+먹거리 마당+시민 이벤트+전통놀이+주민노래자랑 등,미추홀학산문화원+용현5동 주민자치회,인천광역시 미추홀구청+낙섬축제추진위원회,,032-866-3994,https://haksanculture.or.kr/board/view.php?code=notice&cat=&page=1&sq=1627&s_fld=&s_txt=6,,인천광역시 미추홀구 매소홀로 143,,37.44594254,126.6396546,2025-02-10,3510500,인천광역시 미추홀구
만드리풍년제,송학초등학교 운동장,2024-08-29,2024-08-29,공식행사+들노래재현+문화예술공연+전통문화체험부스,광주광역시 서구청,만드리보존회,,062-350-4988,seogu.gwangju.kr,,광주광역시 서구 눌재로 408,광주광역시 서구 세하동 532,35.11304585,126.8303549,2025-03-04,3600000,광주광역시 서구
광주서창억새축제,영산강(극락교~서창교 3.5km)일원,2024-10-17,2024-10-20,공식행사+걷기행사+생태환경콘서트+억새생태포토존+체험행사 등,광주광역시 서구청,광주광역시 서구청,문화체육관광부+광주광역시청+광주환경공단,062-350-4792,seogu.gwangju.kr,,광주광역시 서구 서창둑길 377,광주광역시 서구 벽진동 505-1,35.13849414,126.8287602,2025-03-04,3600000,광주광역시 서구
양동통맥축제,양동전통시장,2024-04-07,2024-04-29,공식행사+프리마켓+문화공연+양동야시장,광주광역시 서구청,양동전통시장+중소벤처기업부+소상공인시장진흥공단+광주광역시+광주경제고용진흥원+좋은피알착한기업,광주광역시서구의회+코레일+광주관광재단+광주전남지역혁신플랫폼+한국농수산식품유통공사+맘스팡,062-945-5670,seogu.gwangju.kr,,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-101,35.15390747,126.9025577,2025-03-04,3600000,광주광역시 서구
제5회 강릉 비치비어페스티벌,경포해변 중앙광장,2025-06-27,2025-06-29,전국 브루어리 맥주+로컬푸드+플로깅+비어도슨트+플리마켓+라이브공연+디제잉파티,강릉비치비어페스티벌추진위원회,강원특별자치도 강릉시청,,033-640-5130,,,강원특별자치도 강릉시 창해로 514,강원특별자치도 강릉시 안현동 산1-9,37.80579695,128.907474,2025-03-04,4201000,강원특별자치도 강릉시
2025 경포 벚꽃 잔치,경포대 및 경포호 일원,2025-03-28,2025-04-02,"바다와 호수, 흩날리는 벚꽃 감상+시화전시+민속놀이 체험+공예체험+다도,약선차 시음 및 허브향기 치료법 체험+벚꽃운동회+벚꽃버스킹",강원특별자치도 강릉시청,강원특별자치도 강릉시청,,033-640-5130,,,강원특별자치도 강릉시 창해로 514,강원특별자치도 강릉시 안현동 산1-9,37.80579695,128.907474,2025-03-04,4201000,강원특별자치도 강릉시
2025 경포 썸머 페스티벌,경포해변 일원,2025-07-29,2025-08-04,무더운 여름에 시원한 경포 해변에서 열리는 야외 축제,강원특별자치도 강릉시청,강원특별자치도 강릉시청,,033-640-5130,,,강원특별자치도 강릉시 경포로 365,강원특별자치도 강릉시 저동 94,37.79556876,128.8965386,2025-03-04,4201000,강원특별자치도 강릉시
